,Priv Union Members (%),us_inf,change_prop_not_on_strike_indicator,Wage_Increase_Indicator,instrument_calc
817,5.9,2.4,0,0,-350.7984172802143
818,6.1,2.3,1,1,769893.0526676001
819,4.7,2.1,0,0,-279.2718664690715
820,4.6,2.4,0,0,50146273.6652401
821,5.1,2.6,0,0,-773.4243865112926
822,4.9,2.4,0,0,-327.0912734041875
823,4.4,1.4,0,0,0.0
824,5.0,1.8,0,0,19310.4541647
825,4.5,2.2,0,0,4080736.859768155
826,4.4,2.5,1,0,-56.05988807978141
827,3.9,2.3,0,0,-223.0045802051752
828,4.2,2.3,0,1,5419183.8552709
829,4.2,1.7,0,1,-223.0116812868683
830,4.8,1.0,0,1,0.0
831,3.8,1.7,0,0,957190.7062257
832,3.4,2.1,0,0,0.0
833,4.2,1.8,0,0,-736.3005432505386
834,3.8,1.7,0,0,0.0
835,4.5,1.8,0,1,0.0
836,3.7,2.2,0,1,0.0
837,4.4,1.8,0,0,0.0
838,3.7,2.1,0,0,22103107.076961502
839,4.6,2.2,0,0,-329.1293432595238
840,4.6,1.7,0,0,-350.7585773362821
842,5.4,2.8,0,0,-98.74297206298209
843,6.3,3.0,0,0,221228.84837820003
844,4.8,2.7,0,0,-138.268030236375
845,4.9,2.4,0,1,857659.5566582001
846,5.6,2.3,0,1,-111.57621112903226
847,5.5,2.1,0,0,0.0
848,6.3,2.4,1,0,34169753.910602316
849,4.8,2.6,0,0,-312.05452749523863
850,4.5,2.4,0,0,315772.31226057804
851,4.7,1.4,0,0,2150503.394739265
852,4.8,1.8,0,0,-153.61443725639285
853,4.0,2.2,0,0,291734.65453949996
854,4.4,2.5,0,0,137.4543146578947
855,3.8,2.3,0,0,-153.5827367748611
856,4.0,2.3,0,1,128286.26791398
857,4.5,1.7,0,1,-98.68174454921538
858,4.4,1.0,0,0,0.0
859,4.4,1.7,0,0,0.0
860,4.2,2.1,0,0,3256705.0771894995
861,3.4,1.8,0,0,-153.61816401837262
862,3.6,1.7,0,0,381535.72802782
863,3.8,1.8,0,0,0.0
864,3.5,2.2,0,0,-224.4327811928353
865,4.6,1.8,0,0,118410.49671198
866,4.9,2.1,0,0,74513.821842988
867,5.2,2.2,0,0,3696369.3652475937
868,4.3,1.7,0,0,705184.4388362368
870,15.6,2.8,1,1,-230.5059346881185
871,14.4,3.0,0,0,151143.58250131345
872,15.0,2.7,0,0,203.71936314827306
873,14.9,2.4,0,0,513653.04660586576
874,15.3,2.3,1,0,336798.5997482866
875,13.4,2.1,0,0,-171.27231382760868
876,13.1,2.4,1,1,39028421.60381443
877,12.7,2.6,0,0,-411.9207510974852
878,11.7,2.4,0,0,-279.2824286367422
