,Priv Union Members (%),state_inf,prop_rep,change_prop_not_on_strike_indicator,Wage_Increase_Indicator,instrument_calc
689,8.0,5.580949642305044,46.5364326007165,0,1,-531.3781380651762
690,8.5,6.4124038398847505,57.442826089786145,0,1,0.0
691,9.2,13.620010333265764,57.442826089786145,1,0,732686.5861198
692,7.2,10.511345244490977,54.69509323965769,0,0,-6.868877752679537
693,7.3,8.749138259250477,54.69509323965769,0,1,-355.87361392845787
694,6.5,5.8569165838959325,58.773135862435964,0,1,52.530024125
695,6.6,2.376381556493712,58.773135862435964,0,1,-209.95200042279998
696,7.6,6.759179794365711,58.199200822958176,0,0,5294816.311703499
697,7.5,9.420625337623068,58.199200822958176,0,1,-210.11175840093253
758,3.5,12.986281868866655,57.114891795062306,0,1,-574.3957726078784
759,2.5,12.560269386414102,57.114891795062306,0,0,307905.79130734364
760,2.6,10.93329254102593,53.29197068676051,0,0,223958.01487022726
761,2.8,8.170448446892674,53.29197068676051,0,0,325828.5230183379
762,2.8,0.727346740195367,53.26057611197427,0,1,583937.6251958678
763,1.9,5.404009736787874,53.26057611197427,1,0,0.0
764,2.4,14.971796734987407,54.49334484495287,1,0,13511747.779008728
765,2.3,9.395889700978088,54.49334484495287,0,0,-757.5561276253774
766,2.1,2.3993576129461403,53.87489868096994,1,0,1429361.4125516312
767,2.1,8.741876438246887,53.87489868096994,0,0,-111.70821775
768,1.6,6.029073947295482,51.07221619474075,0,0,-223.34661786390623
769,1.8,9.583508287184195,51.07221619474075,0,0,0.0
770,1.8,4.390575104911076,47.08827457430102,1,0,1434694.2113098002
771,2.0,9.417296266073926,47.08827457430102,0,1,-138.75185796032883
772,2.0,16.082534599582353,45.1121007294501,0,0,0.0
773,1.5,2.011112017012806,45.1121007294501,0,1,0.0
774,1.8,8.94299398067744,54.1178021512468,0,1,0.0
775,1.6,10.507639920129863,54.1178021512468,0,0,0.0
776,1.8,4.362853675777423,48.74800187586448,0,0,0.0
777,1.6,1.2356832289246888,48.74800187586448,0,0,224118.27121789998
778,1.2,1.9021837299798339,55.39049529237556,0,0,5553396.839034578
779,1.8,-0.5728496360559832,55.39049529237556,0,0,491027.01549287926
780,1.7,-0.19822795193530363,53.220579594290086,0,0,0.0
781,2.3,12.274312186331482,53.220579594290086,0,0,-223.31488257477272
870,15.6,8.741998194664923,54.42333510879172,1,1,-230.5059346881185
871,14.4,8.721947256484075,54.42333510879172,0,0,151143.58250131345
872,15.0,7.876572906682444,49.550875455473815,0,0,203.71936314827306
873,14.9,7.612316846136347,49.550875455473815,0,0,513653.04660586576
874,15.3,6.799281721877382,47.280209354063835,1,0,336798.5997482866
875,13.4,6.859137895283385,47.280209354063835,0,0,-171.27231382760868
876,13.1,6.803159548043225,46.32068516745515,1,1,39028421.60381443
877,12.7,8.229142346439144,46.32068516745515,0,0,-411.9207510974852
878,11.7,7.651365400749932,46.557155098628705,0,0,-279.2824286367422
879,11.7,7.760330874740595,46.557155098628705,0,0,4983476.5785535
880,11.6,13.94118701132614,46.11783187881611,0,0,-293.5737474459286
881,11.8,23.316237242072457,46.11783187881611,0,0,269715.79445107497
882,11.2,15.05398976584269,42.26689878512195,0,1,-44.336536370263175
883,10.1,8.34018369992049,42.26689878512195,0,1,1252040.2655945437
884,10.3,19.18107498967496,42.519735426035055,1,0,121986.82759059494
885,10.5,6.528168357137631,42.519735426035055,0,0,459.47716941747683
886,9.0,8.955371250806676,49.74108967639273,1,1,-90.32030991818182
887,8.7,15.80655094015051,49.74108967639273,0,0,282147.0816753377
888,8.5,9.819474828429552,43.58384387975055,0,0,3007100.2935086074
